,name,image,keys,points,calories,summary
235,Air Fryer Fish Sticks,https://www.skinnytaste.com/wp-content/uploads/2023/08/Air-Fryer-Fish-Sticks-9-260x390.jpg,"['AF', 'FM', 'GF', 'HP', 'KF', 'MP']",5,294.0,"Once you make air fryer fish sticks from scratch, you’ll never deep fry them again! Perfect with homemade tartar sauce."
236,Instant Pot Chicken Noodle Soup,https://www.skinnytaste.com/wp-content/uploads/2023/08/Instant-Pot-Chicken-Noodle-Soup-6-260x390.jpg,"['DF', 'KF', 'MP', 'PC']",4,223.0,"Enjoy this quick and easy Instant Pot Chicken Noodle Soup in your lunch box, on a cold day or when you’re feeling under the weather. It’s so comforting!"
237,Hummus,https://www.skinnytaste.com/wp-content/uploads/2023/08/Hummus-8-260x390.jpg,"['DF', 'HF', 'Q', 'V']",3,252.0,This quick and easy blender hummus made with canned chickpeas comes out super creamy. It’s so easy to make from scratch that you’ll never buy it pre-made again!
238,Ratatouille with Farro,https://www.skinnytaste.com/wp-content/uploads/2023/08/RatatouillewithFarro-13-260x390.jpg,"['DF', 'FM', 'HF', 'V']",5,243.0,"Ratatouille with Farro is loaded with summer vegetables, like tomatoes, zucchini, bell peppers, and eggplant. Enjoy it as a vegetarian main or as a side dish with a protein."
239,Shrimp Quesadilla,https://www.skinnytaste.com/wp-content/uploads/2023/07/Shrimp-Quesadilla-5-260x390.jpg,"['GF', 'HP', 'HF', 'KF', 'Q']",7,299.0,Enjoy this protein-packed Shrimp Quesadilla recipe bursting with savory flavors – an ideal choice for a light and satisfying dinner or lunch.
240,Zucchini Gnocchi,https://www.skinnytaste.com/wp-content/uploads/2023/07/Zucchini-Gnocchi-4-260x390.jpg,"['GF', 'KF', 'V']",3,216.0,"There are no potatoes in this homemade Zucchini Gnocchi. It’s mostly zucchini with a little flour and cheese, pan-fried with marinara sauce. Delish!"
241,Strawberry Swiss Roll,https://www.skinnytaste.com/wp-content/uploads/2023/07/Strawberry-Roll-9-260x390.jpg,[],5,153.0,"A Strawberry Swiss Roll is a classic dessert that offers a delightful combination of sponge cake, fresh strawberries, and cream, perfect for spring and summer when strawberries are at their peak."
242,Chicken Eggplant Parmesan,https://www.skinnytaste.com/wp-content/uploads/2023/07/Chicken-Eggplant-Parmesan-9-260x390.jpg,"['AF', 'HP']",8,473.0,"Chicken Eggplant Parmesan is made with breaded, air-fried (or baked) chicken breast and topped with a simple eggplant marinara sauce and fresh mozzarella. It’s high in protein and delicious!"
243,Air Fryer Asian Meatballs,https://www.skinnytaste.com/wp-content/uploads/2023/07/Asian-Meatball-Rice-Bowls-6-260x390.jpg,"['AF', 'DF', 'FM', 'HP', 'HF', 'MP']",10,483.0,"Air Fryer Asian Meatballs made with ground turkey, rice and edamame is a healthy dinner idea or lunch and great for meal prep!"
244,Gazpacho,https://www.skinnytaste.com/wp-content/uploads/2023/07/230718_gazpacho-14-260x390.jpg,"['DF', 'V']",2,116.0,"Gazpacho, a chilled soup made with fresh tomatoes, cucumbers, and bell peppers, is a delicious way to stay cool and hydrated during the hot summer months."
245,Zucchini Pancakes,https://www.skinnytaste.com/wp-content/uploads/2008/07/ZuchiniPancakes-06-260x390.jpg,"['KF', 'LC', 'V']",2,120.0,"Like potato pancakes but with fewer carbs, these savory Zucchini Pancakes are the perfect side dish with grilled chicken or steak."
246,Corn Salsa,https://www.skinnytaste.com/wp-content/uploads/2019/02/Corn-Salsa-with-Lime-5-260x390.jpg,"['DF', 'GF', 'KF', 'LC', 'Q', 'V']",0,57.0,"This easy corn salsa made with lime, cilantro, and tomatoes is perfect with chips or served over your favorite tacos or burrito bowls!"
247,Zucchini Bread,https://www.skinnytaste.com/wp-content/uploads/2022/08/Zucchini-Bread-7-1-260x390.jpg,"['DF', 'FM', 'GF', 'KF', 'V']",5,144.0,"This moist, delicious Zucchini Bread with walnuts, cinnamon, and vanilla, is made healthy and light with applesauce – a great way to use up that summer zucchini!"
248,Spicy Salmon Sushi Pizza,https://www.skinnytaste.com/wp-content/uploads/2023/07/Spicy-Salmon-Sushi-Pizza-7-260x390.jpg,"['AF', 'DF', 'GF', 'HP']",8,403.0,"I’m obsessed with this spicy salmon sushi pizza made with spicy mayo, sushi-grade salmon, avocado, scallions, and jalapeño on a tortilla crust."
249,Air Fryer Pork Chops,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Pork-Chops-5-1-260x390.jpg,"['AF', 'DF', 'GF', 'KF', 'Q']",7,378.0,"These crispy, air fryer pork chops are moist, tender and juicy on the inside with a golden-crispy breaded crust on the outside!"
250,Pupusas,https://www.skinnytaste.com/wp-content/uploads/2023/07/Pupusas-12-260x390.jpg,"['DF', 'FM', 'GF', 'HF', 'V']",6,220.0,"Pupusas are stuffed tortillas made with corn masa, cheese and beans served with curtido. They’re easy to customize with any filling you wish."
251,Waffled Zucchini Fritters,https://www.skinnytaste.com/wp-content/uploads/2023/07/Savory-Zucchini-Waffle-Recipe-5-260x390.jpg,"['DF', 'GF', 'KF', 'LC', 'V']",2,75.0,"Dust off that waffle iron and make these savory zucchini waffles! It’s easy, super delicious, and a great way to use summer zucchini."
252,BBQ Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/07/BBQ-Chicken-8-260x390.jpg,"['DF', 'HP', 'LC']",7,267.0,"This 5-ingredient BBQ Chicken is juicy, beautifully charred, and easy to make using your favorite BBQ sauce. Perfect for your summer cookout!"
253,Homemade Ferrero Rocher (Hazelnut) Date Balls,https://www.skinnytaste.com/wp-content/uploads/2023/06/HomemadeFerreroRocherHazelnutDateBalls-06-260x390.jpg,"['DF', 'GF', 'Q', 'V']",5,90.0,"Healthy Chocolate Hazelnut Date Balls, inspired by Ferrero Rocher are made with hazelnuts, dates, pumpkin puree, and cocoa powder."
254,20 Best Burger Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/05/20-best-burger-recipes-260x390.png,['HP'],,,"I’m sharing my Best Burger Recipes for grilling season and beyond. From juicy turkey burgers to satisfying veggie burgers, beef burgers, salmon burgers, and more, these healthy homemade burgers are ready for all your cookouts!"
255,Grilled Pesto Chicken and Tomato Kebabs,https://www.skinnytaste.com/wp-content/uploads/2013/06/Grilled-Pesto-Chicken-and-Tomato-Kebabs-7-260x390.jpg,"['GF', 'KF', 'LC']",2,147.0,"Grilled Pesto Chicken and Tomato Kebabs SCREAM summer! Made with chunks of boneless chicken breasts, basil pesto, and cherry tomatoes, they are great as an appetizer or dinner."
256,Chicken Burger,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chicken_Burger-06-260x390.jpg,"['DF', 'FM', 'HP', 'MP', 'Q']",7,284.0,"This moist and juicy ground chicken burgers are perfect on a bun with all the fixins, in a lettuce wrap for a carb-free meal, or in a bowl with grains and veggies for meal prep!"
257,Coleslaw Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/Cole-Slaw-7-260x390.jpg,"['DF', 'GF', 'LC', 'Q', 'V', 'W']",2,73.0,"This easy coleslaw recipe is the perfect side to pair with anything you’re grilling this summer! Serve it as a side dish with a pulled pork sandwich, burgers, hot dogs, and more."
258,Grilled Chicken Sandwich,https://www.skinnytaste.com/wp-content/uploads/2023/06/Grilled-Chicken-Sandwiches-6-1-260x390.jpg,"['DF', 'HP', 'KF']",6,406.0,"My favorite Grilled Chicken Sandwich, made with tender, pickle-brined grilled chicken breast with a zesty slaw and spicy mayo – so good!!"
259,Grilled Pineapple,https://www.skinnytaste.com/wp-content/uploads/2011/06/Grilled-Pineapple-4-260x390.jpg,"['DF', 'GF', 'KF', 'V']",4,102.0,"This quick and easy Grilled Pineapple with honey, lime juice, and cinnamon is the perfect dessert for summer dinners or backyard parties!"
260,Mediterranean Meatballs,https://www.skinnytaste.com/wp-content/uploads/2023/06/Mediterranean-Meatball-Bowl-8-260x390.jpg,"['AF', 'GF', 'KF', 'MP']",11,466.0,"Mediterranean Meatballs made with flavorful ground turkey meatballs served over Israeli couscous and a bright, lemony cucumber tomato salad. Make them in the air fryer or oven!"
261,Smash Tacos,https://www.skinnytaste.com/wp-content/uploads/2023/06/Smashed-Taco-10-260x390.jpg,"['KF', 'Q']",12,452.0,I hopped on the smashed taco trend and made these turkey smash burger tacos a little lighter than what I’ve seen on TikTok. They came out delicious!
262,Loaded Egg Muffins,https://www.skinnytaste.com/wp-content/uploads/2016/02/Loaded-Baked-Omelet-Muffins-4-260x390.jpg,"['FM', 'GF', 'KF', 'LC', 'MP', 'Q']",2,165.0,"Fill these easy loaded egg muffins with any combination of veggies, cheese, and meats. Perfect breakfast to make ahead for the week."
263,Veggie Kabobs,https://www.skinnytaste.com/wp-content/uploads/2023/06/Veggie-Kabobs-7-260x390.jpg,"['DF', 'GF', 'KF', 'Q', 'V']",1,105.0,"These colorful, fresh veggie kabobs are perfect for throwing on the grill when you need a quick side dish. So delicious and easy!"
264,Chipotle Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chipotle-Chicken-Thighs-7-260x390.jpg,"['AF', 'DF', 'GF', 'HP', 'KF', 'LC', 'MP', 'Q']",4,216.0,"This quick and easy chipotle chicken recipe is made with boneless chicken thighs (or breasts), delicious for homemade burrito bowls, tacos, quesadillas, and more."
265,Italian Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2023/06/Italian-Pasta-Salad-7-260x390.jpg,"['GF', 'KF']",7,237.0,"Serve this delicious cold pasta salad at your next BBQ or summer party. It’s packed with colorful veggies, such as broccoli, tomatoes, and cucumbers, plus Italian favorites, like salami, cheese, pepperoncini, and olives."
266,How To Cook Quinoa,https://www.skinnytaste.com/wp-content/uploads/2019/08/How-To-Make-Perfect-Quinoa-in-the-Instant-Pot-9-260x390.jpg,"['DF', 'GF', 'Q', 'V']",4,172.0,"A foolproof recipe for making perfect, fluffy quinoa for adding to salads, stir-fries, bowls, and even breakfast dishes and so much more."
267,13 Easy Canned Tuna Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/05/best-canned-tuna-recipes-260x390.png,[],,,"I always have cans of tuna in the pantry as it’s affordable, convenient, and protein-packed! Below, I’m sharing 13 Easy Canned Tuna Recipes that you can make for healthy lunch or dinner ideas any day of the week."
268,Protein Bagels with Cottage Cheese,https://www.skinnytaste.com/wp-content/uploads/2023/06/Protein-Bagels-4-260x390.jpg,"['AF', 'FM', 'GF', 'HP', 'KF', 'Q', 'V']",5,164.0,Whip up a batch of these quick and easy Protein Bagels with Cottage Cheese for breakfast or lunch in less than 30 minutes – they come out perfect!
269,Turkey Burger Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/turkey-burgers-2-260x390.jpg,"['DF', 'HP', 'KF', 'MP', 'Q']",8,351.0,"This easy turkey burger recipe is simple and delicious, perfect for a quick, weeknight dinner. You can also make them ahead and freeze them!"
270,Greek Cottage Cheese Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny_Taste_Greek_Cottage_cheese_bowl-7-260x390.jpg,"['GF', 'HP', 'LC', 'Q', 'V']",7,186.0,This savory Greek Cottage Cheese Bowl is an easy high-protein breakfast or lunch that is fresh and flavorful and doesn’t require any cooking.
271,Taco Seasoning Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/Taco-Seasoning-Recipe-2-260x390.jpg,"['DF', 'GF', 'KF', 'Q', 'V', 'W']",0,8.0,"My go-to, easy homemade taco seasoning recipe made with just 6 ingredients you already have in your pantry. When it comes to making tacos at home, nothing beats making your own spice blend."
272,Mexican-Inspired Grilled Corn Salad with Cotija,https://www.skinnytaste.com/wp-content/uploads/2022/06/Grilled-Corn-Salad-with-Cojita-6-260x390.jpg,"['GF', 'KF', 'Q', 'V']",2,117.0,"Mexican-inspired Grilled Corn Salad made with grilled summer corn, Tajin (chili-lime seasoning) and cotija cheese, only made lighter with no mayo."
273,Grilled Asparagus,https://www.skinnytaste.com/wp-content/uploads/2023/06/Grilled-Asparagus-2-260x390.jpg,"['DF', 'GF', 'KF', 'LC', 'Q', 'V']",1,57.0,"For the best grilled asparagus, marinate them in a simple balsamic dressing, then grill until charred. An easy, healthy side dish!"
274,Vegetable Charcuterie Board,https://www.skinnytaste.com/wp-content/uploads/2023/09/Vegetable-Charcuterie-Board-9-260x390.jpg,"['Q', 'V']",,,"Move over meat and cheese because veggie boards are healthy, impressive and easy-to-make for your next party!"
275,14+ Boneless Chicken Thigh Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/04/14-best-boneless-chicken-thigh-recipes-260x390.png,[],,,Boneless chicken thighs are one of my favorite proteins to cook. I’m sharing 14+ Boneless Chicken Thigh Recipes for dinner that you can make in any season.
276,Chicken Summer Rolls,https://www.skinnytaste.com/wp-content/uploads/2023/05/Chicken-Summer-Rolls-9-260x390.jpg,"['DF', 'HP']",8,299.0,These ground chicken summer rolls with basil and mint are served with a hoisin dipping sauce. They’re fresh and light with a wonderful combination of textures and flavors. 
277,Cheesy Stuffed Chicken Breast with Zucchini,https://www.skinnytaste.com/wp-content/uploads/2023/05/Cheesy-Stuffed-Chicken-Breast-with-Zucchini-8-260x390.jpg,"['FM', 'GF', 'HP', 'LC']",7,429.0,"These Cheesy Stuffed Chicken Breasts with zucchini, cheddar cheese, and cream cheese are delicious and perfect if you’re looking for a high protein dinner idea."
278,Lamb Keema with Peas,https://www.skinnytaste.com/wp-content/uploads/2009/05/lamb-kheema-07-260x390.jpg,"['DF', 'FM', 'GF', 'LC']",13,240.0,"Keema is a traditional Indian dish made of spiced ground meat such as lamb, onion, and usually peas or potatoes."
279,Pickled Red Onions,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny-taste-pickled-onions-07-260x390.jpg,"['DF', 'GF', 'LC', 'V']",0,16.0,"These easy pickled red onions are delicious and versatile. They add a tangy, slightly sweet, and crunchy element to steaks, sandwiches, tacos, burrito bowls and more!"
280,Macaroni Salad with Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2009/05/Macaroni-Salad-with-Tomatoes-8-260x390.jpg,"['GF', 'KF', 'Q', 'V']",4,125.0,"This is the BEST Macaroni Salad made with tomatoes and black olives, and a simple creamy mayo-based dressing, a perfect summer side dish!"
281,How To Grill Corn on The Cob,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny-taste-how-to-grill-corn-on-the-cob-01-260x390.jpg,"['DF', 'GF', 'KF', 'V']",0,77.0,"Grilled corn on the cob is an easy, classic summer side dish and a great addition to summer barbecues, camping trips and gatherings. Here’s two ways to grill delicious corn on the cob!"
282,Blackened Grilled Salmon Skewers,https://www.skinnytaste.com/wp-content/uploads/2023/05/blackened-salmon-skewers-3-2-260x390.jpg,"['DF', 'GF', 'HP', 'HF', 'LC', 'W']",0,199.0,"You’ll be making these healthy, grilled Blackened Salmon Skewers all summer long! They’re spicy, smoky, and delicious."
283,Cilantro Lime Shrimp,https://www.skinnytaste.com/wp-content/uploads/2018/01/Cilantro-Lime-Shrimp-6-260x390.jpg,"['DF', 'GF', 'HP', 'KF', 'LC', 'Q', 'W']",1,119.0,Cilantro Lime Shrimp is bursting with flavor and it takes about 10 minutes to make! Serve it over rice or tacos for an easy weeknight dinner!
284,The Best Grilled Chicken Breast,https://www.skinnytaste.com/wp-content/uploads/2023/05/Grilled-Chicken-Breast-7-260x390.jpg,"['DF', 'GF', 'HP', 'LC', 'MP', 'W']",2,339.0,"This is my go-to grilled chicken breast recipe, it comes out so juicy and flavorful, perfect over salads, sandwiches, or for meal prep!"
285,Creamy Cucumber Salad,https://www.skinnytaste.com/wp-content/uploads/2023/05/Creamy-Cucumber-Salad-7-260x390.jpg,"['GF', 'LC', 'Q', 'V']",1,60.0,"This simple, four-ingredient Creamy Cucumber Salad, made with Greek yogurt and fresh dill, is one of my family’s favorite summer side dishes."
286,Blueberry Galette,https://www.skinnytaste.com/wp-content/uploads/2023/05/Blueberry-Galette-6-260x390.jpg,"['DF', 'KF', 'V']",5,155.0,This easy blueberry galette is the perfect dessert to bake when fresh summer blueberries are in season or any time of the year. Using refrigerated pie dough makes it even faster!
287,Broccoli and Cheese Egg Muffins,https://www.skinnytaste.com/wp-content/uploads/2013/04/Broccoli-and-Cheese-Egg-Muffins-9-260x390.jpg,"['FM', 'GF', 'KF', 'LC', 'MP', 'Q', 'V']",2,167.0,"I love making a batch of these easy make-ahead, high-protein Broccoli and Cheese Egg Muffins for meal prep or breakfast on the go."
288,Air Fryer Sweet Potato Fries,https://www.skinnytaste.com/wp-content/uploads/2017/12/air-fryer-sweet-potato-fries-1-6-260x390.jpg,"['AF', 'DF', 'GF', 'HF', 'KF', 'Q', 'V', 'W']",5,221.0,These healthy air fryer sweet potato fries are perfectly seasoned and made with just a small amount of oil! Perfect with burgers!
289,"Pesto Pasta with Arugula, Asparagus, Peas, and Pistachios",https://www.skinnytaste.com/wp-content/uploads/2023/05/Pesto-Pasta-Salad-7-260x390.jpg,"['HF', 'V']",9,380.0,"This healthy Pesto Pasta with Arugula, Asparagus, Peas, and Pistachios is fresh, bright, and absolutely delicious! Eat it warm or cold!"
290,Red Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5-260x390.jpg,"['GF', 'KF', 'V']",2,107.0,This easy Baby Red Potato Salad recipe is light on the mayonnaise. A delicious BBQ side dish you will make all summer!
291,Grilled Potatoes,https://www.skinnytaste.com/wp-content/uploads/2012/06/grilled-potatoes-260x390.jpg,"['DF', 'GF', 'KF', 'Q', 'V', 'W']",5,172.0,These crispy grilled potatoes are golden brown and delicious! An easy summer side dish to go along with anything you’re grilling!
292,Lentil Curry,https://www.skinnytaste.com/wp-content/uploads/2023/05/Lentil-Curry-7-260x390.jpg,"['DF', 'GF', 'HF', 'MP', 'PC', 'V']",0,216.0,"This easy lentil curry made with curry powder, garam masala, and other spices is perfect over white rice or cauliflower rice as a vegan or vegetarian main or side dish. "
293,Hot Dog Onions,https://www.skinnytaste.com/wp-content/uploads/2023/05/Hot-Dog-Onions-10-260x390.jpg,"['DF', 'GF', 'LC', 'Q', 'V']",1,64.0,"Smoky, tangy, and delicious, this is my mom’s recipe for saucy Hot Dog Onions. They’re my favorite way to top my franks, and they only take about 15 minutes to make!"
294,Creamy Orzo with Asparagus and Peas,https://www.skinnytaste.com/wp-content/uploads/2023/05/Creamy-Orzo-with-Asparagus-and-Peas-6-1-260x390.jpg,"['DF', 'HF', 'V']",10,423.0,"This delicious, creamy orzo pasta dish with asparagus and peas is fresh, bright, and lemony – the perfect spring dinner. Plus, it’s vegan and dairy-free."
295,High-Protein Cottage Cheese Veggie Dip with Za’atar,https://www.skinnytaste.com/wp-content/uploads/2023/05/High-Protein-Cottage-Cheese-Veggie-Dip-5-260x390.jpg,"['GF', 'HP', 'HF', 'Q', 'V']",3,186.0,High Protein Cottage Cheese Veggie Dip with Za’atar is a delicious and healthy snack that’s easy to make and perfect for any time of day. A great way to get those veggies in!
296,Artichoke Dip,https://www.skinnytaste.com/wp-content/uploads/2010/12/Skinny-Artichoke-Dip-7-260x390.jpg,"['GF', 'KF', 'LC', 'Q', 'V']",2,73.7,"This creamy, delicious artichoke dip is hot and cheesy baked with Parmesan and mozzarella cheese topped with golden breadcrumbs. Perfect appetizer with baked chips!"
297,Spicy Shrimp Francese with Calabrian Chili,https://www.skinnytaste.com/wp-content/uploads/2023/05/Spicy-Shrimp-Francese-with-Calabrian-Chili-7-260x390.jpg,"['HP', 'LC']",4,256.0,Spicy Shrimp Francese with Calabrian Chili is a seafood dish combining traditional Italian Francese sauce with spicy Calabrian chili peppers.
298,Yogurt-Marinated Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/05/Yogurt-Marinated-Chicken-6-260x390.jpg,"['AF', 'GF', 'HP', 'LC']",7,314.0,Easy Yogurt-Marinated Chicken made with grilled boneless chicken thighs (or chicken breasts) made in a Greek yogurt marinade for the most tender chicken.
299,English Muffin Breakfast Sandwich,https://www.skinnytaste.com/wp-content/uploads/2023/05/English-Muffin-Egg-Sandwich-8-2-260x390.jpg,"['GF', 'HP', 'HF', 'KF', 'MP', 'Q']",5,242.0,"This easy English Muffin Breakfast Sandwich with turkey bacon, egg and cheese is my go-to egg sandwich and the best way to start the morning!"
300,20+ High Protein Breakfast Ideas,https://www.skinnytaste.com/wp-content/uploads/2023/05/20-high-protein-breakfast-260x390.png,['HP'],,,"These 20 High Protein Breakfast Ideas are perfect for anyone looking to get their day started on the right foot. They’re healthy, packed with flavor, and super easy to make.  "
301,Best Guacamole Recipe,https://www.skinnytaste.com/wp-content/uploads/2017/01/Guacamole-6-260x390.jpg,"['DF', 'GF', 'KF', 'LC', 'Q', 'V', 'W']",2,93.0,"This is the Best Guacamole Recipe, and it’s so easy to make! A healthy vegetarian dip to serve it with chips, tacos, tostones, chicken enchiladas, and more."
302,The BEST Chicken Enchilada Recipe,https://www.skinnytaste.com/wp-content/uploads/2011/08/Gina-Skinny-Chicken-Enchiladas-4-3-260x390.jpg,"['HF', 'KF']",4,168.0,"The BEST Chicken enchilada recipe! These easy chicken enchiladas are made with shredded chicken, cheese and my homemade enchilada sauce."
303,Pico de Gallo,https://www.skinnytaste.com/wp-content/uploads/2008/05/Pico-de-Gallo-9-260x390.jpg,"['DF', 'GF', 'Q', 'V', 'W']",0,36.5,"Pico de gallo is a fresh salsa made from diced tomatoes, onion, and peppers, perfect for serving over tacos, burritos, bowls, or to eat with chips!"
304,Shrimp Tacos,https://www.skinnytaste.com/wp-content/uploads/2023/05/shrimp-tacos-1-260x390.jpg,"['AF', 'GF', 'HP', 'KF', 'Q']",6,288.0,These healthy shrimp tacos with slaw are easy and delicious! Served on a warm tortilla with a delicious shrimp taco sauce.
305,Greek Tofu Bowls,https://www.skinnytaste.com/wp-content/uploads/2023/05/Greek-Tofu-Bowl-9-260x390.jpg,"['GF', 'HP', 'HF', 'MP', 'V']",8,485.0,"Greek Tofu Bowls feature crispy, baked breaded tofu cutlets over a bed of fresh cucumbers, tomatoes and peppers in a light dressing."
306,Angel Hair Pasta with Shrimp and Tomato Cream Sauce,https://www.skinnytaste.com/wp-content/uploads/2010/01/Angel-Hair-with-Shrimp-and-Tomato-Sauce-6-260x390.jpg,"['GF', 'HP', 'HF', 'KF', 'Q']",6,377.0,"Angel hair pasta with shrimp and tomato sauce is made with a touch of cream, white wine and a hint of lemon. A quick weeknight dinner idea!"
307,Lasagna Roll Ups With Cottage Cheese,https://www.skinnytaste.com/wp-content/uploads/2023/04/Cottage-Cheese-Lasagna-Rolls-6-260x390.jpg,"['GF', 'HP', 'V']",11,462.0,"These easy, delicious, high-protein Cottage Cheese Lasagna Roll Ups are vegetarian and perfect weeknight dinners. "
308,Air Fryer Salmon Patties,https://www.skinnytaste.com/wp-content/uploads/2023/04/Air-Fryer-Salmon-Patties-5-260x390.jpg,"['AF', 'DF', 'GF', 'HP', 'MP']",4,314.0,These Air Fryer Salmon Patties are great for using leftover salmon or canned salmon and turning it into something delicious.
309,Mexican Shrimp Cobb Salad,https://www.skinnytaste.com/wp-content/uploads/2011/07/Mexican-Cobb-Salad-1-4-260x390.jpg,"['GF', 'HF', 'Q']",3,267.5,"Mexican Shrimp Cobb Salad is a beautifully layered salad with shrimp, avocados, grilled corn, black bean salsa, cucumbers, tomatoes and cheese."
310,Roasted Strawberry Almond Flour Muffins,https://www.skinnytaste.com/wp-content/uploads/2023/04/Roasted-Strawberry-Almond-Flour-Muffins-8-260x390.jpg,"['GF', 'KF', 'V']",6,164.0,"These gluten-free Roasted Strawberry Almond Flour Muffins are delicious and light, made with Greek yogurt, oat flour, and almond flour."
311,Fiesta Bean Salad,https://www.skinnytaste.com/wp-content/uploads/2013/04/Fiesta-Bean-Salad-5-260x390.jpg,"['DF', 'GF', 'HF', 'Q', 'V']",3,335.0,"Fiesta Bean Salad is made with black beans, chick peas, tomatoes, cilantro and avocado tossed with a cumin-lime vinaigrette."
312,Ground Beef and Broccoli Stir Fry,https://www.skinnytaste.com/wp-content/uploads/2023/04/Ground-Beef-and-Broccoli-8-260x390.jpg,"['DF', 'HP', 'HF']",8,327.0,This easy Ground Beef and Broccoli stir-fry is perfect when you need a quick weeknight dinner!
313,Roasted Mushrooms with Parmesan,https://www.skinnytaste.com/wp-content/uploads/2023/04/Roasted-Mushroom-Medley-with-Parmesan-5-260x390.jpg,"['GF', 'KF', 'LC', 'Q', 'V']",3,120.0,These easy oven roasted mushrooms can be made with any variety of mushrooms – just make sure to keep the slices a similar size so they roast evenly.
314,Huevos Pericos,https://www.skinnytaste.com/wp-content/uploads/2008/03/Huevos-Pericos-7-260x390.jpg,"['DF', 'GF', 'HP', 'LC', 'Q', 'V', 'W']",1,155.0,"Huevos pericos are a traditional Colombian breakfast dish made with scrambled eggs, tomatoes, and scallions."
315,Chicken Satay with Spicy Peanut Sauce,https://www.skinnytaste.com/wp-content/uploads/2016/06/Grilled-Chicken-Satay-with-Spicy-Peanut-Sauce-7-260x390.jpg,"['DF', 'GF', 'HP', 'LC']",4,265.0,"These easy, flavorful Thai-inspired chicken satay skewers are marinated in coconut milk and spices and then grilled and served with a delicious spicy peanut sauce for dipping."
316,Open Faced Tuna Sandwich with Avocado,https://www.skinnytaste.com/wp-content/uploads/2019/01/Open-Faced-Tuna-Sandwich-7-260x390.jpg,"['DF', 'GF', 'HF', 'Q']",3,247.0,My favorite way to make a tuna sandwich is open-faced with a veggie-loaded tuna salad topped with avocado and sprouts. A quick and easy healthy lunch idea.
317,Ropa Vieja,https://www.skinnytaste.com/wp-content/uploads/2023/03/Instant-Pot-Ropa-Vieja-10-260x390.jpg,"['DF', 'GF', 'HP', 'KF', 'LC', 'PC']",7,350.0,"Ropa Vieja is a Cuban dish made with shredded beef that has been slowly cooked with onions, peppers, olives, tomato sauce, and spices like cumin and oregano."
318,Green Smoothie Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/04/Green-Smoothie-Bowl-5-260x390.jpg,"['DF', 'FM', 'GF', 'HF', 'KF', 'Q', 'V']",7,404.0,This easy Green Smoothie Bowl is a tasty and nutritious breakfast that’s customizable and packed with healthy ingredients that will keep you feeling great all morning!
319,How To Make a Colorful Crudite Platter,https://www.skinnytaste.com/wp-content/uploads/2023/04/ColorfulCruditesFull-260x390.jpg,"['KF', 'Q', 'V']",,,A crudites platter is a beautiful and delicious way to serve fresh vegetables as an appetizer or a snack for any holiday or gathering.
320,Carrot Cake Recipe with Cream Cheese Frosting,https://www.skinnytaste.com/wp-content/uploads/2010/03/Carrot-Cake-1-8-260x390.jpg,"['KF', 'V']",9,216.0,"Here’s a super moist, Carrot Cake Recipe with Pineapples and Cream Cheese Frosting, perfect for Easter or anytime of the year. "
321,Air Fryer Rotisserie Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/04/Rotisserie-Style-Air-Fryer-Whole-Chicken-6-2-260x390.jpg,"['AF', 'DF', 'GF', 'HP', 'KF', 'LC', 'W']",,,Air Fryer Rotisserie-Style Chicken comes out perfectly juicy with golden crispy skin that is ready to eat in under an hour!
322,23 Easy Asparagus Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/03/23-easy-asparagus-recipes-260x390.png,[],,,"Check out these Easy and Healthy Asparagus Recipes featuring one of my favorite spring vegetables! From pasta recipes with steamed asparagus to baked asparagus appetizers and saucy stir fries, I’m sharing all my best asparagus recipes for you to try."
323,Insanely Good Blueberry Oatmeal Muffins,https://www.skinnytaste.com/wp-content/uploads/2012/03/Blueberry-Oatmeal-Muffins-10-260x390.jpg,"['DF', 'FM', 'KF', 'V']",4,127.0,"These Blueberry Oatmeal Muffins are insanely good! Hard to believe they are light. Think baked oatmeal, but in the form of a muffin!"
